"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","430.77500","432.37500","1","Slot2","Boletto"
"2","430.46250","435.46250","1","Slot2","Cinisello"
"3","431.51250","433.11250","1","Slot2","ValCava"
"4","431.37500","432.97500","1","Slot2","Penice"
"5","430.97500","435.97500","1","Slot2","Garbagnate"
"6","430.96250","435.96250","1","Slot2","Milano"
"7","430.11250","431.71250","2","Slot2","Gallarate"
"8","430.23750","431.83750","2","Slot2","Olgiate"
"9","431.46250","433.06250","1","Slot2","Cadorna"
"10","432.68750","434.28750","1","Slot1","Vezza"
"11","431.55000","433.15000","1","Slot1","Laveno"
"12","430.67500","435.67500","1","Slot1","Roam Channel 1"
