"No.","Radio ID","Name","Call Type","Call Alert"
"1","1","1 WWIDE","Group Call","None"
"2","2","2 EUROPE","Group Call","None"
"3","88","88 local","Group Call","None"
"4","9","9 Local","Group Call","None"
"5","222","222 Italia","Group Call","None"
"6","22221","22221 Lombardia","Group Call","None"
"7","222086","222086 Milano","Group Call","None"
"8","222205","222205 Valcava","Group Call","None"
"9","222207","222207 Bergamo","Group Call","None"
"10","222209","222209 Valcava","Group Call","None"
"11","222211","222211 Pavia","Group Call","None"
"12","222212","222212 Bergamo","Group Call","None"
"13","222253","222253 Bergamo","Group Call","None"
"14","222267","222267 Venegono","Group Call","None"
"15","222270","222270 Lecco","Group Call","None"
"16","223208","223208 Gallarate","Group Call","None"
"17","223271","223271 Varese","Group Call","None"
"18","223280","223280 Bergamo","Group Call","None"
"19","223290","223290 Milano","Group Call","None"
"20","223293","223293 Cinisello","Group Call","None"
"21","222112","222112 EMERGENZA","Group Call","None"
"22","222030","222030 BS","Group Call","None"
"23","222031","222031 Dolomiti","Group Call","None"
"24","222055","222055 Lig-Pie","Group Call","None"
"25","22298","22298 ItaNord","Group Call","None"
"26","222008","222008 IT CENTRO","Group Call","None"
"27","222010","222010 IT TAC","Group Call","None"
"28","22209","22209 ITRadioCha","Group Call","None"
"29","4000","4000 CLOSE SLOT","Group Call","None"
"30","22211","22211 Liguria","Group Call","None"
"31","22289","22289 ERA","Group Call","None"
"32","22288","22288 ARI","Group Call","None"
"33","22287","22287 CISAR","Group Call","None"
"34","22232","22232 Trentino","Group Call","None"
"35","228","228 Svizzera","Group Call","None"
"36","2286","2286 Ticino","Group Call","None"
"37","22241","22241 Emilia","Group Call","None"
"38","22251","22251 Toscana","Group Call","None"
"39","22292","22292 Italy-MP","Group Call","None"
"40","22208","2208 ITCent","Group Call","None"
"41","9990","PARROT","Private Call","None"
"42","208","208 France","Group Call","None"
"43","2081","2081 France IDF","Group Call","None"
"44","214","214 Spain","Group Call","None"
"45","21428","21428 Prov Madri","Group Call","None"
"46","2140","2140 Spain Link","Group Call","None"
"47","262","262 Germany","Group Call","None"
"48","2628","2628 Bayern","Group Call","None"
"49","3100","3100 US Bridge","Group Call","None"
"50","3106","3106 California","Group Call","None"
"51","3136","3136 NY","Group Call","None"
"52","20877","20877 Seine e M","Group Call","None"
